system_id,record_type,relative_path,exists,size_bytes,sha256,checksum_status
Gs_7WU2,api_pockets_gpcrdb,data/api/v1/systems/Gs_7WU2/pockets_gpcrdb.json,yes,9972,78c93dd40d44f9333e673012ce61c585b08c9640be5b2ee7276b8982d2b6b3c7,computed
Gs_7WU2,api_gateways,data/api/v1/systems/Gs_7WU2/gateways.json,yes,8054,fa6262a413c34a22a6780b8bf0ecc40e813ce3c04d4da5dd3bb209fa57dc7005,computed
Gs_7WU2,api_gprotein,data/api/v1/systems/Gs_7WU2/gprotein_metrics.json,yes,181415,94c661365baa0f1614d5095b31c85b9d9a131ab3d2583fc6bf019a7a84b0fd37,computed
Gs_7WU2,api_pocketgrid,data/api/v1/systems/Gs_7WU2/pocketgrid.npz,yes,6226686,,pending_binary_or_large_file
Gs_7WU2,chain_roles,data/chain_roles/Gs_7WU2_chain_roles.json,yes,382,5c254154387e329239165655e871968eeb102fabfabe31067e771652047e6ebb,computed
Gs_7WU2,contacts,data/contacts/Gs_7WU2_contacts.parquet,yes,46464,,pending_binary_or_large_file
Gs_7WU3,viz_structure,data/viz/Gs_7WU3/structure.pdb,yes,1346544,,pending_binary_or_large_file
Gs_7WU3,viz_trajectory,data/viz/Gs_7WU3/traj.xtc,yes,157884824,,pending_binary_or_large_file
Gs_7WU3,api_index,data/api/v1/systems/Gs_7WU3/index.json,yes,1441,1b6fa521d16532d53041e944d9250664a51d3e278e53a8d5ef70d72df43f6b5f,computed
Gs_7WU3,api_pockets,data/api/v1/systems/Gs_7WU3/pockets.json,yes,5541,7b8690282738265450796ba3cdfb9e7ce07788f7b229ab6073fdfc5794516473,computed
Gs_7WU3,api_pockets_gpcrdb,data/api/v1/systems/Gs_7WU3/pockets_gpcrdb.json,yes,7942,403a3372896202ae87d1a79e300c45f4a21f8f44951a9d4e891d8ebd2d2a7d21,computed
Gs_7WU3,api_gateways,data/api/v1/systems/Gs_7WU3/gateways.json,yes,8057,5f6f2506b30a8c94033869240ddc754a757cadead5952ea33fc3b1a84260387e,computed
Gs_7WU3,api_gprotein,data/api/v1/systems/Gs_7WU3/gprotein_metrics.json,yes,181794,4eecd47cde96836dcbc6619df0112cf329529d23d6755aedd8da0cc44ee83b38,computed
Gs_7WU3,api_pocketgrid,data/api/v1/systems/Gs_7WU3/pocketgrid.npz,yes,6180990,,pending_binary_or_large_file
Gs_7WU3,chain_roles,data/chain_roles/Gs_7WU3_chain_roles.json,yes,382,419dc6a7959fda771ca27e74a6a521a1ad57ea6c5c73ba0f861ba5bd2bb87dc8,computed
Gs_7WU3,contacts,data/contacts/Gs_7WU3_contacts.parquet,yes,46887,,pending_binary_or_large_file
Gs_7WUJ,viz_structure,data/viz/Gs_7WUJ/structure.pdb,yes,1357641,,pending_binary_or_large_file
Gs_7WUJ,viz_trajectory,data/viz/Gs_7WUJ/traj.xtc,yes,159213944,,pending_binary_or_large_file
Gs_7WUJ,api_index,data/api/v1/systems/Gs_7WUJ/index.json,yes,1296,d064c23bdc8d7c1af7bd6d002e141abf6c52be460810c11e9c62e61a92561c31,computed
Gs_7WUJ,api_pockets,data/api/v1/systems/Gs_7WUJ/pockets.json,yes,6756,cc68b6ac97c1af6734bb929e387eaea1e65bd662dd854b7892ca05f79d4f73b4,computed
Gs_7WUJ,api_pockets_gpcrdb,data/api/v1/systems/Gs_7WUJ/pockets_gpcrdb.json,yes,10530,454d24599cb1af0ac90efadbc15be02c1457eb3de14c4ed9a19dafdcbd16426f,computed
Gs_7WUJ,api_gateways,data/api/v1/systems/Gs_7WUJ/gateways.json,yes,8008,cc631bd82d874529cc24eb55af51f520b6b7fd2119a0d50c861e0357c4491601,computed
Gs_7WUJ,api_gprotein,data/api/v1/systems/Gs_7WUJ/gprotein_metrics.json,yes,189567,d8a4fc0797e0c142549e2c79d1013abb1eba9939ed0f87eac4e4052210217374,computed
Gs_7WUJ,api_pocketgrid,data/api/v1/systems/Gs_7WUJ/pocketgrid.npz,yes,6659070,,pending_binary_or_large_file
Gs_7WUJ,chain_roles,data/chain_roles/Gs_7WUJ_chain_roles.json,yes,382,953bd1fcebe52961b22b3d28090da69506f3d470f53e5e92d4709236764755a5,computed
Gs_7WUJ,contacts,data/contacts/Gs_7WUJ_contacts.parquet,yes,47927,,pending_binary_or_large_file
